Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Where are the Hubs?	The ALN Hub's are located in room 233 at the City Centre Campus, and B5 at the Colcot Road Campus	QnA.xlsx		[]	false	[]	10
I've got Dylexia	The ALN Hub's are located in room 233 at the City Centre Campus, and B5 at the Colcot Road Campus	QnA.xlsx		[]	false	[]	10
I've got learning dificuties	The ALN Hub's are located in room 233 at the City Centre Campus, and B5 at the Colcot Road Campus	QnA.xlsx		[]	false	[]	10
Who do I talk to about transport?	You can speak to Student Services about transport	QnA.xlsx		[]	false	[]	11
My bus pass is running out	You can speak to Student Services about transport	QnA.xlsx		[]	false	[]	11
My bus pass ran out	You can speak to Student Services about transport	QnA.xlsx		[]	false	[]	11
Who do I talk about finance?	You can speak to Student Services about finance	QnA.xlsx		[]	false	[]	12
I don't have any food	You can speak to Student Services about finance	QnA.xlsx		[]	false	[]	12
Don't have any lunch	You can speak to Student Services about finance	QnA.xlsx		[]	false	[]	12
I've ran out of money\n\n	You can speak to Student Services about finance	QnA.xlsx		[]	false	[]	12
Benifits have stopped\n\n	You can speak to Student Services about finance	QnA.xlsx		[]	false	[]	12
got no cash	You can speak to Student Services about finance	QnA.xlsx		[]	false	[]	12
EMA\n\n	You can speak to Student Services about finance	QnA.xlsx		[]	false	[]	12
My EMA has Ran out\n\n	You can speak to Student Services about finance	QnA.xlsx		[]	false	[]	12
Where can I access support for additional learning needs?	You can access support for Additional Learning Needs at the ALN Hub's. Or, you can contact the ALN Team on the Student Portal. Visit : [http://web-preprod.cavc.ac.uk/en/cavc-for/learning-support](http://web-preprod.cavc.ac.uk/en/cavc-for/learning-support)	QnA.xlsx		[]	false	[]	13
I have previously had a Statment of Special Educational Needs. Who do I talk to about this?	You can speak to someone in the ALN Hub about this. Or, you can contact the ALN Team on the Student Portal	QnA.xlsx		[]	false	[]	14
